star,date,cmt
3,2019-03-06,배우논란 같은건 신경 안 쓰고 영화 보는 사람인데 다 제쳐놓더라도 cg빼곤 매우 안 좋습니다 무슨 엔드게임을 위한 긴 예고편을 본듯한 허망함이  느껴지네요 사실 이거 안 보고 바로 엔드게임 봐도 무방합니다 스토리가 뻔하고 엉성하면서 지루해요  
10,2019-03-06,영화평을 써라 고인 모독은 딴 데 가서 좀 지껄이고  
3,2019-03-06,관람객배우 하나 때문에 이렇게 집중이 안되긴 처음이다.. 페미가 문제가 아니라 캐릭터랑 너무 안 맞음; 영화 내내 무표정으로 지루하다는 듯이 연기하는 꼴 보고 있으니 내가 다 질린다. 그리고 사실상 어벤져스 내용과 거의 무관. 혼자 자아 찾는 내용이 전부임  
10,2019-03-06,재밌어요 ㅎ ㅎ ㅎ ㅎ 히 히  
10,2019-03-06,"주인공이 미스캐스팅이다, 페미다는 다 상관없고 마블영화 중에 손꼽을정도로 재미있었고 다음 영화까지 기대하게 만들정도로 재미있던 영화. 평점이 왜 낮은지 이해불가 영화  "
10,2019-03-06,진짜 마블세계관이 또 감탄함. 그 전에 인피니티워랑 이어지는 이야기와 몰랐던 사실을 알게돼서 소름돋고 어벤져스가 나오게된 것 이야기와 다 알게돼서 좋았음 빨리 엔드게임나와라..  
10,2019-03-06,개쩐다ㅋㅋ캡틴마블 겁니세네 불꽃간지다 진심 와와하면서 봤음 ㅋ어벤져스 마지막편 엄청기대되네요  
10,2019-03-06,역시 마블 영화는 진리 ㅎㅎ 그냥 히어로물일 뿐인데 왜케 욕이 많은지 마음 아픔ㅠㅠ 어벤져스 스포도 있고 핡 꼭 보세용ㅎㅎ  
10,2019-03-06,나만 재밌게 봄???!!!  
10,2019-03-06,페미 운운하면서 부들대는 애들 왜이렇게 안쓰럽냐...너네 보지도 않고 토렌트로 받을거라며 ㅋㅋ  
10,2019-03-06,너무 재밌어요 꼭 보세요~  
1,2019-03-06,솔직히 줄거리만 봐도 졸라짱쌘 사람이 자아찾아다니면서 방황하다가 마지막에 졸라짱쌘 힘으로 빌런 순삭 시키는거 딱봐도 슈퍼맨 생각밖에 안남.  
9,2019-03-06,재밌는데 왜그러냐ㅋㅋ  
10,2019-03-06,재밌던데 다들 안보고 평점 테러하네브리라슨 개이쁨ㅋ  
10,2019-03-06,허허 성향 차이로 이러는건 심하시네요 재밌습니다 그건 ㄹㅇ팩트임  
10,2019-03-06,일베에서 좌표찍고 몰려왔나..  
5,2019-03-06,관람객기억나는건 귀여운 야옹이!!!  
10,2019-03-09,관람객존잼 여태 히어로물 중에 제일 잘 봤어요 타노스보다 백만배 쎌듯 담달 영화가 기대돼용ㅎㅎ  
10,2019-03-09,관람객고양이 너무 기여워요  
10,2019-03-09,한남 쿵쾅쿵쾅 입만 산 불매  
10,2019-03-06,존잼♡ 구스 졸귀탱♡이고 여주는 사기캐임  
10,2019-03-09,"관람객마블,처음본 딸램이 너무 재미있었대요  "
10,2019-03-09,관람객정말 멋진 영화. 넘어지는 장면 교차편집한 거 보고 울컥함. 지금까지 증명하기 위해 애써왔고 지금도 계속 증명할 것을 요구받는 사람들에게 바치는 영화.  
10,2019-03-09,관람객개잼 존잼 개멋 존멋 재밌게 봤어요오오오~~~  
10,2019-03-08,"닉퓨리가 어벤져스를 왜 모집하게 되는지,눈은 왜그렇게됐는지, 캡틴마블이랑 닉퓨리가 어케 알게되고 왜 캡틴마블이 도우러오는지,어벤져스3마지막에 닉퓨리죽을때 그 신호기는 어디서 얻게되는지 다 나오는데 이걸건너뛰는게 말이됩니까?베플들 다개소립니다.가서보세요  "
10,2019-03-08,히어로물을 즐기지 못했던 이유를 캡틴마블을 보고 깨달았다. 내가 이입할 수 있는 인물과 서사의 힘. 보는 내내 벅차오르면서 동시에 통쾌했다! 어린 딸이 있는 양육자라면 꼭 같이 가서 보기를. 올봄의 시작을 이 영화와 함께해서 기쁘다.  
2,2019-03-06,오마이갓  진짜 마블의 최악인 영화였다  
10,2019-03-09,타노스 강냉이 다털릴듯 오짐  
8,2019-03-07,실관람평하고 차이나는거 보이지? 영화도 안보고 테러하는 새끼들이 태반이라는 거지. 방금 보고 나왔는데 충분히 볼만하다. 이 정도면 추천함  
10,2019-03-07,관람객캡틴 마블이라면 타노스고 나발이고 우주 먼지로 태워버릴 것 같다.  
10,2019-03-09,진짜 넘 멋있었고 재밌었다 오랜만에 여성 주연 히어로물을 봐서 굉장히 기뻤다 알수없이 뭉클하기도했고 울컥하기도했다 앞으로도 많은 여성 주연의 영화들이 많이 나왔으면 좋겠다  
9,2019-03-09,배우 선입견 다 때려치우고 캡틴 마블 캐릭터랑 어울리는데? 그저 님들이 선입견가지고 영화 재미없다고 욕하는거임  
10,2019-03-06,졸잼 앞은 살짝 지루하다가 중간부터 꿀잼입니다 떡밥소름.. 어벤져스 다음편보려면 이거보고보믄 더 꿀잼일듯 근데 퓨리눈개웃기넼ㅋㄱㄱ ㄱㅋ ㅋ 끝나고 쿠키영상2개 꼭 보세욤  
10,2019-03-09,관람객Captain Marvel is the most greatest hero in the world  
10,2019-03-09,관람객평점 왜 이러지? 개 쩔었는데  
10,2019-03-09,페미라고 평점테러하는 사람들때문에 재미없나 싶어서 보고옴ㅋㅋ재밌음 페미라고하는사람들 때문에 오히려 영화홍보가 되는거같네요다들 그렇게 예민해서 어떻게 사나싶음...  
10,2019-03-09,관람객꿀잼.구스가세상을구한다.  
10,2019-03-09,재밌기만함~~리얼트루~~  
10,2019-03-07,그남들 발광하는거 개웃기네 재밌기만 하구만^^ 더 흥해라 홧팅~~~!  
6,2019-03-06,페미 그런건 모르겠고 그냥 영화가 재미 없었어...  
1,2019-03-06,관람객핵노잼 진심ㅡ ㅡ ㅡ ㅡ ㄷ  
10,2019-03-08,내가봤던 히어로물 중에 주인공이 제일 쿨하고 멋있네 ㅋㅋ  
1,2019-03-06,"스탠리, 마블팬에 대한 존경,존중이 없는 배우는 망하길 바란다  "
10,2019-03-09,관람객지루할 틈이없었고 엄청 재밌었어요!  
10,2019-03-09,관람객좋아요~ 꼭 보시요 두번보세요  
1,2019-03-06,페미는 더이상 사상이 아니다  
10,2019-03-07,그냥 남자영웅스토리가 여자로바뀐거빼고 걍 히어로물인데 뭐가그리 화가나노..  
10,2019-03-09,관람객정말 재미있었어요 한 번 더 보고싶을 정도!! 다음 시리즈도 너무 기대됩니다 역윽시 믿고 보는 마블!!!  
10,2019-03-09,완전쎄요...마블 히어로우 중에서 토르급으로 쎈듯  
10,2019-03-07,진짜 보면서 계속 소름돋았고 궁금했었던 과거일도 조금씩 풀어줘서 그것도 재미있었다 2차 뛰러 갈거임  
10,2019-03-06,차후 줄거리 요약입니다.캡틴마블에  등장하는 고양이는 히어로 입니다.현재 고양이의 모습을 하고 있으나 적이 나타나면원샷원킬로 끝을 냅니다.차후 타노스를 죽일수 있는 유일한 히어로 입니다.마블측에서도 주인공인 고양이를 활용한 영화를 제작할듯요  
10,2019-03-08,관람객평점 8.7  네티즌평점5.7 이게 팩트  
10,2019-03-07,초반에는 좀 지루한데 갈수록 재미있고 멋있음 ㅠㅠ 최고임 진짜 개쎄  
10,2019-03-07,보지도 않고 평점은 왜 1점줌? ㅋㅋ  
1,2019-03-06,"브리라슨 미스 캐스팅~ 갤가돗, 앰버허드 dc를 본받아라  "
10,2019-03-09,별점 테러한 거 믿지 않는 게 좋을 듯.. 1점 짜리 영화는 아닌 것 같은데 하여간 어떤 사람들은 너무 감성적이라서 본인의 마음에만 안 들면 쒸익쒸익 화나서 점수를 깎는군요..  
10,2019-03-09,오늘 초3남아 포함 온가족이 보고 왔어요. 추천해요♡  
10,2019-03-07,진짜 개존잼 짱 재밌음 페미요소때문에불매하는 그 성별들은 존나게 댕청한듯오늘 내가 본 상영관 관람객들 4분의3이 남자였는데 낄낄 도태되고 돈없고 같이 영화볼  친구없는 그남들만 불매하는듯~^^  
